,carat,cut,color,clarity,depth,table,price
188,1.01,Premium,H,SI2,59.4,62.0,3083
189,1.02,Very Good,G,VVS1,63.0,58.0,7657
190,0.27,Ideal,G,VS1,62.3,53.0,527
191,0.7,Very Good,F,SI1,62.6,56.0,2196
192,1.51,Ideal,I,VS2,62.3,57.0,9297
193,2.22,Ideal,J,SI2,62.8,57.0,13703
194,0.54,Premium,G,VS2,62.7,58.0,1422
195,1.23,Premium,D,SI2,58.9,58.0,5283
196,0.9,Good,E,SI1,63.9,57.0,3795
197,0.88,Fair,F,SI1,56.6,65.0,2882
198,0.7,Fair,G,SI2,58.6,56.0,2208
199,0.31,Premium,H,SI1,62.7,58.0,558
200,1.25,Ideal,G,SI2,61.1,55.0,6371
201,1.01,Premium,G,SI2,59.1,59.0,4242
202,0.3,Very Good,F,SI2,63.5,57.0,506
203,0.28,Very Good,E,VS1,59.5,59.0,487
204,0.51,Premium,F,SI2,61.1,59.0,1227
205,0.52,Ideal,I,VS2,61.9,58.0,1232
206,0.52,Premium,G,VVS1,59.2,58.0,2153
207,0.3,Good,D,SI2,63.3,57.0,447
208,0.51,Very Good,D,SI1,62.2,58.0,1398
209,0.42,Premium,D,VVS2,62.8,59.0,1241
210,1.82,Premium,H,VS2,61.6,60.0,14749
211,0.7,Very Good,E,VS2,58.9,60.0,2845
212,1.37,Ideal,G,VVS2,62.3,55.5,12207
213,1.0,Premium,G,SI2,62.7,59.0,4095
214,1.2,Ideal,G,SI2,61.1,57.0,5722
215,1.01,Premium,E,VS1,62.0,59.0,7964
216,0.5,Ideal,H,SI1,61.7,58.0,1035
217,1.0,Premium,E,VS1,60.4,59.0,7744
218,0.31,Ideal,F,IF,61.4,56.0,1061
219,0.4,Very Good,D,VS2,63.3,58.0,845
220,0.32,Very Good,G,VS2,62.3,55.0,544
221,1.54,Premium,F,VS2,62.4,59.0,14578
222,1.05,Premium,E,I1,61.4,58.0,2964
223,1.05,Premium,G,VS2,61.9,59.0,5821
224,1.0,Good,G,VS1,63.9,55.0,6028
225,0.3,Very Good,I,VS1,63.3,59.0,608
226,0.3,Very Good,E,VS2,62.4,57.0,658
227,1.0,Good,G,VVS2,60.9,56.0,7492
228,0.39,Premium,F,VS1,60.6,55.0,1092
229,0.31,Very Good,G,SI1,63.0,56.0,462
230,0.31,Premium,G,VS2,61.8,58.0,435
231,0.6,Ideal,F,SI1,61.5,58.0,1646
232,0.31,Ideal,G,SI2,60.5,57.0,523
233,0.3,Very Good,D,VS2,62.6,61.0,710
234,0.41,Ideal,G,VVS1,62.1,55.0,1230
235,0.33,Premium,G,VS1,60.3,58.0,621
236,0.7,Very Good,F,VS1,61.8,59.0,2895
237,0.28,Very Good,E,VVS1,62.1,57.0,707
238,0.7,Very Good,I,VS1,63.3,55.0,1995
239,0.35,Ideal,D,VS1,60.8,57.0,952
240,1.0,Ideal,G,SI1,61.0,57.0,5622
241,0.76,Premium,F,IF,60.6,60.0,4150
242,1.0,Fair,G,SI1,43.0,59.0,3634
243,1.0,Very Good,G,SI1,62.6,59.0,4844
244,1.03,Good,D,SI2,57.6,58.0,4177
245,0.25,Very Good,F,VVS2,62.0,59.0,576
246,1.1,Ideal,H,VS2,60.5,57.0,5347
247,1.03,Ideal,G,VVS1,61.7,56.0,7708
248,1.14,Very Good,J,SI1,63.3,55.0,4173
249,1.1,Ideal,D,VS1,61.9,56.0,10144
250,0.73,Premium,F,SI2,60.5,57.0,2351
251,0.71,Ideal,H,VS1,60.3,59.0,2487
252,0.7,Good,D,VVS1,61.0,61.0,4407
253,1.33,Ideal,G,VVS1,62.2,54.0,12255
254,1.15,Premium,H,SI1,62.0,58.0,5506
255,0.53,Ideal,F,VVS1,61.6,56.0,2896
256,1.3,Very Good,F,SI2,61.1,58.0,6149
257,1.05,Premium,F,VVS2,61.3,59.0,8693
258,0.57,Premium,G,VS2,59.7,59.0,1608
259,0.63,Very Good,D,SI1,62.8,57.0,1885
260,0.91,Very Good,E,SI2,60.3,59.0,3638
261,1.2,Premium,D,VS2,61.6,60.0,8693
262,1.01,Premium,E,SI1,63.0,61.0,5077
263,1.05,Premium,H,SI1,59.3,58.0,5161
264,0.34,Ideal,F,VS2,62.2,55.0,641
265,1.19,Premium,I,VS2,61.7,57.0,5439
266,0.52,Premium,D,SI1,58.7,58.0,1720
267,0.53,Good,I,SI2,63.6,58.0,942
268,1.11,Ideal,E,VS2,61.0,57.0,9625
269,0.32,Ideal,G,IF,61.1,57.0,918
270,0.36,Ideal,F,VS2,61.5,55.0,807
271,1.03,Ideal,F,SI2,61.8,56.0,4454
272,0.33,Premium,I,VS1,59.5,60.0,668
273,0.7,Very Good,F,VS2,62.4,57.0,2956
274,0.32,Ideal,E,VS2,62.0,55.0,900
275,2.01,Very Good,H,SI1,60.1,60.0,17476
276,0.32,Ideal,G,VS1,61.2,56.0,645
277,0.9,Good,G,SI2,64.1,56.0,3246
278,1.08,Ideal,F,VS2,61.0,57.0,7781
279,0.31,Ideal,H,VVS1,61.8,57.0,907
280,1.02,Premium,H,VS2,61.8,58.0,5241
281,0.35,Ideal,E,VS2,61.6,55.0,984
282,0.32,Ideal,F,SI1,60.9,55.0,586
283,2.53,Premium,H,SI2,62.6,60.0,14659
284,0.55,Ideal,E,SI1,61.4,55.0,1668
285,0.58,Ideal,H,IF,61.6,57.0,2211
286,0.52,Premium,E,VS2,60.6,58.0,1622
287,0.7,Good,G,VVS1,58.5,62.0,3380
288,0.52,Ideal,H,VS2,61.3,55.0,1401
289,0.3,Ideal,G,VVS1,62.7,54.0,764
290,0.71,Ideal,F,VS1,61.7,55.0,3041
291,0.4,Ideal,G,VVS2,62.6,53.0,917
292,1.02,Ideal,J,SI2,61.6,55.0,2611
293,0.33,Very Good,F,VVS2,62.5,59.0,810
294,1.01,Premium,F,SI2,62.9,59.0,4616
295,0.32,Very Good,F,VVS2,62.0,55.0,717
296,1.5,Very Good,E,VS2,62.1,60.0,14256
297,1.02,Good,G,VS2,63.2,57.0,6058
298,0.33,Ideal,E,IF,61.9,57.0,1129
299,0.65,Premium,D,SI1,60.5,58.0,2134
300,0.3,Ideal,F,IF,59.8,58.0,873
301,1.21,Premium,G,SI2,60.3,58.0,5529
302,0.7,Ideal,I,VVS2,62.7,54.0,2487
303,0.51,Premium,G,VS2,61.3,59.0,1443
304,1.54,Premium,D,VS2,62.7,59.0,16921
305,0.43,Very Good,F,SI1,61.6,59.0,792
306,0.33,Premium,I,VVS1,61.9,60.0,780
307,0.9,Good,I,VVS1,62.4,61.0,3972
308,0.41,Very Good,E,SI1,63.2,56.0,1015
309,0.31,Ideal,G,IF,61.9,56.0,871
310,1.54,Very Good,F,SI1,58.8,60.0,11650
311,1.04,Ideal,G,VS2,62.5,57.0,6709
312,0.62,Ideal,E,SI1,61.7,54.0,2054
313,0.9,Very Good,D,SI1,63.5,57.0,4304
314,0.36,Ideal,H,VS1,61.5,55.0,651
315,0.3,Ideal,F,VVS1,62.1,55.0,1114
316,1.4,Premium,I,VS1,61.6,59.0,7722
317,1.7,Very Good,H,SI2,60.8,56.0,10255
318,0.33,Ideal,G,VS1,61.8,56.0,666
319,1.06,Ideal,F,VS1,61.9,57.0,7345
320,0.4,Very Good,G,SI1,59.2,61.0,702
321,1.1,Ideal,J,SI2,60.1,57.0,4624
322,0.9,Fair,H,VS2,65.5,57.0,3226
323,0.32,Premium,G,VVS2,61.2,59.0,730
324,0.33,Ideal,E,VS1,62.7,57.0,1002
325,0.73,Very Good,E,SI1,63.3,60.0,2523
326,1.51,Premium,G,SI1,62.4,62.0,10688
327,2.07,Ideal,I,SI2,62.0,55.0,16337
328,1.0,Premium,E,SI2,61.0,59.0,3752
329,1.04,Very Good,H,SI1,63.1,58.0,4316
330,1.21,Premium,F,VS2,60.1,55.0,8870
331,0.72,Ideal,H,VVS1,62.5,57.0,2946
332,0.83,Very Good,E,SI1,62.1,58.0,3002
333,1.17,Ideal,J,SI1,62.3,55.0,4883
334,0.28,Ideal,F,VS1,62.0,57.0,598
335,0.53,Ideal,E,VS2,62.4,56.0,1813
336,1.0,Very Good,I,SI2,60.8,63.0,3276
337,0.46,Premium,E,VS1,62.0,58.0,1294
338,0.34,Ideal,D,SI1,60.6,56.0,803
339,0.3,Very Good,E,VS2,62.9,58.0,658
340,1.01,Very Good,E,VS2,60.4,58.0,6666
341,1.26,Ideal,G,SI1,59.6,57.0,6738
342,0.36,Ideal,F,VS1,61.6,56.0,819
343,2.01,Good,J,SI1,63.6,59.0,12257
344,0.4,Very Good,E,SI1,63.5,57.0,882
345,0.42,Ideal,J,VS1,60.9,57.0,663
346,0.91,Premium,G,SI2,61.3,60.0,3423
347,0.51,Ideal,G,IF,62.4,54.0,2096
348,0.32,Very Good,D,VS2,62.5,57.0,758
349,1.77,Premium,E,VS2,61.6,58.0,15278
350,0.3,Premium,F,VVS2,61.6,58.0,737
351,1.51,Very Good,D,SI2,63.2,59.0,7915
352,1.01,Ideal,E,SI1,61.6,57.0,5206
353,1.58,Premium,G,VS1,60.8,58.0,11380
354,0.91,Premium,G,SI2,59.8,58.0,2813
355,0.7,Very Good,D,SI1,62.5,55.0,2862
356,0.31,Ideal,D,SI1,62.3,54.0,571
357,0.71,Premium,E,VS2,61.5,60.0,2858
358,1.5,Good,J,VS2,63.6,58.0,7308
359,0.31,Ideal,D,SI1,61.3,56.0,565
360,0.31,Ideal,H,VVS1,61.6,57.0,846
361,1.06,Premium,E,SI1,60.8,58.0,5485
362,0.32,Ideal,F,VS1,61.0,54.0,716
363,1.01,Very Good,E,SI1,63.3,58.0,5077
364,0.57,Ideal,D,VVS1,61.6,56.0,3126
365,0.9,Very Good,F,VS2,63.4,58.0,4400
366,0.46,Ideal,D,VS2,62.4,56.0,1298
367,0.9,Very Good,H,VS1,62.3,59.0,4592
368,1.36,Very Good,D,VVS2,62.6,58.0,14236
369,0.54,Good,E,SI2,63.8,54.0,1163
370,1.16,Ideal,H,SI1,62.2,54.0,6036
371,2.13,Very Good,J,SI1,62.8,58.0,13996
372,0.43,Ideal,F,VS2,61.5,56.0,904
373,0.7,Good,F,SI1,64.3,63.0,2059
374,1.01,Fair,E,SI2,64.6,59.0,3294
375,0.6,Premium,H,SI1,58.9,61.0,1341
376,0.9,Good,F,VS1,63.3,59.0,4508
377,0.71,Ideal,I,SI1,61.4,56.0,2376
378,0.32,Ideal,E,IF,62.6,55.0,1095
379,0.38,Very Good,H,VVS1,59.1,58.0,967
380,0.24,Very Good,D,VVS2,61.3,58.0,485
381,1.01,Ideal,E,SI1,62.1,54.0,5599
382,0.9,Good,G,SI1,63.7,60.0,3669
383,0.41,Ideal,I,VS1,61.9,55.0,878
384,0.7,Premium,I,SI1,61.8,62.0,1914
385,0.5,Premium,E,SI2,60.1,60.0,1262
386,1.01,Ideal,F,SI1,62.3,58.0,5646
387,0.42,Very Good,G,SI1,63.2,57.0,945
388,1.7,Ideal,J,VS2,62.5,57.0,9414
389,0.52,Good,G,SI1,63.3,57.0,1244
390,0.4,Good,E,VVS2,58.5,60.0,1059
391,1.21,Ideal,H,SI2,62.6,56.0,5624
392,0.9,Very Good,H,SI2,62.3,61.0,3481
393,0.65,Premium,D,VVS2,59.9,58.0,3003
394,1.01,Good,J,SI1,58.8,57.0,3853
395,0.92,Ideal,J,VS1,62.4,56.0,3332
396,0.33,Ideal,G,IF,61.7,55.0,1052
397,0.51,Ideal,F,SI1,61.1,55.0,1593
398,1.04,Premium,G,IF,61.3,58.0,9039
399,1.07,Very Good,G,SI2,64.6,60.0,4340
400,1.22,Ideal,G,VS2,62.0,55.0,8067
401,0.71,Very Good,I,VVS1,63.5,57.0,2456
402,0.78,Ideal,D,SI2,61.4,57.0,3454
403,0.9,Ideal,H,VS2,61.9,55.0,4133
404,0.31,Ideal,D,VS2,61.5,56.0,734
405,0.92,Good,E,SI2,62.0,64.0,3153
406,0.43,Ideal,I,VS1,61.8,55.0,1218
407,0.3,Ideal,G,VS2,61.2,55.0,545
408,0.7,Ideal,E,VS2,62.5,55.0,2693
409,0.32,Premium,E,VVS2,61.5,58.0,842
410,0.46,Ideal,G,IF,62.1,56.0,1733
411,0.3,Ideal,G,VVS2,61.8,57.0,665
412,0.38,Ideal,H,VVS2,62.2,54.6,832
413,2.04,Premium,H,SI1,62.5,61.0,18115
414,0.47,Premium,H,VS1,60.3,61.0,1244
415,0.53,Ideal,D,VS2,61.7,55.0,1857
416,0.6,Very Good,D,VVS2,60.6,57.0,2897
417,0.71,Ideal,E,VS2,61.0,55.0,2863
418,0.45,Ideal,G,SI2,61.9,54.0,709
419,1.04,Premium,I,SI1,61.8,60.0,4368
420,1.02,Premium,G,SI2,62.5,59.0,4370
421,0.75,Good,E,SI2,63.8,55.0,2453
422,0.41,Premium,E,VS1,60.6,59.0,1153
423,0.4,Ideal,E,VVS1,62.4,57.0,1333
424,0.7,Fair,E,SI2,70.6,56.0,1828
425,1.08,Very Good,G,VS2,60.6,58.0,6777
426,1.23,Ideal,G,VVS2,62.7,56.0,10317
427,0.55,Ideal,E,SI2,62.0,56.0,1273
428,0.31,Very Good,F,VS2,62.9,56.0,625
429,1.02,Very Good,G,VS1,62.6,58.0,6301
430,0.64,Good,J,SI2,64.7,54.0,1141
431,0.3,Premium,D,SI1,59.7,59.0,552
432,0.41,Premium,D,SI2,62.3,58.0,876
433,0.76,Ideal,F,SI2,60.3,60.0,2624
434,0.44,Premium,G,VVS1,60.9,59.0,1235
435,0.64,Very Good,D,SI1,62.2,55.0,1967
436,0.3,Ideal,E,VVS2,62.2,54.4,779
437,0.38,Ideal,E,VS1,61.4,56.0,920
438,0.38,Ideal,H,IF,60.0,60.0,1064
439,0.4,Ideal,E,VVS1,62.8,57.0,1397
440,0.32,Ideal,G,VVS2,61.6,55.0,936
441,1.51,Ideal,D,SI1,59.5,57.0,12738
442,2.04,Ideal,H,SI2,62.0,56.0,16319
443,1.2,Ideal,J,VS1,61.8,55.0,5040
444,0.39,Very Good,G,IF,63.5,56.0,1271
445,1.09,Ideal,J,SI1,61.4,55.0,4565
446,1.01,Ideal,I,SI1,60.6,57.0,3999
447,1.2,Ideal,G,VS2,62.8,54.0,8414
448,1.01,Good,F,VS1,59.0,62.0,6794
449,0.54,Ideal,H,SI1,62.2,56.0,1240
450,1.51,Premium,H,SI1,60.6,59.0,10519
451,0.31,Ideal,F,IF,62.0,55.0,914
452,0.51,Ideal,E,VS1,62.0,57.0,1841
453,0.3,Very Good,E,VVS2,59.7,57.0,622
454,2.05,Premium,H,SI2,62.5,58.0,16431
455,1.03,Very Good,G,SI1,59.4,60.0,5353
456,0.72,Ideal,F,SI2,62.0,55.0,2224
457,1.01,Premium,F,VS2,59.9,61.0,6097
458,0.41,Ideal,E,VS2,61.8,57.0,999
459,1.31,Premium,J,SI1,59.4,60.0,5446
460,1.0,Premium,D,SI2,60.8,60.0,4295
461,0.32,Very Good,I,VVS1,60.1,61.0,589
462,0.31,Ideal,G,VVS1,61.8,54.0,789
463,1.14,Ideal,E,VVS2,62.3,55.0,10512
464,0.39,Very Good,H,VVS1,61.5,56.0,926
465,0.7,Very Good,D,VS2,61.2,60.0,3131
466,0.31,Premium,D,IF,60.2,59.0,1167
467,1.0,Good,G,VS2,62.7,58.0,5068
468,1.17,Ideal,D,SI2,62.7,57.0,5842
469,0.31,Ideal,J,VS2,62.2,55.0,396
470,0.5,Very Good,H,SI1,63.1,55.0,984
471,0.52,Premium,E,VS2,60.7,58.0,1815
472,0.3,Premium,G,VVS2,62.6,58.0,684
473,0.3,Good,G,VS1,63.6,57.0,605
474,1.01,Very Good,G,SI1,63.2,59.0,5113
475,0.33,Ideal,I,IF,62.1,55.0,694
476,0.7,Very Good,I,SI1,62.2,58.0,2136
477,0.33,Premium,I,VS2,61.0,61.0,594
478,1.2,Premium,E,SI1,60.3,57.0,7362
479,0.52,Good,F,SI1,63.6,62.0,1357
480,0.29,Very Good,F,VVS2,63.1,57.0,664
481,0.84,Very Good,D,SI1,59.9,54.0,4205
482,0.38,Very Good,F,SI1,61.5,54.0,660
483,1.06,Very Good,F,SI1,59.6,60.0,5491
484,0.36,Ideal,I,VS1,62.1,56.0,568
485,1.12,Premium,H,SI2,62.0,57.0,4641
486,1.01,Good,E,VS1,63.6,57.0,7665
487,1.5,Ideal,G,SI2,61.4,56.0,8580
488,0.81,Good,E,I1,64.1,59.0,2608
489,0.7,Premium,E,SI1,61.3,58.0,2777
490,0.44,Ideal,H,SI1,61.9,57.0,733
491,1.2,Premium,G,VS1,62.8,58.0,8602
492,0.41,Ideal,H,VS2,61.5,55.0,743
493,0.32,Good,D,SI1,63.8,55.0,706
494,0.7,Very Good,I,SI1,62.7,56.0,1918
495,1.26,Ideal,J,VS1,62.2,58.0,6332
496,0.83,Premium,F,VS2,60.2,60.0,3557
497,0.4,Ideal,E,VVS1,62.6,56.0,1333
498,1.23,Ideal,H,VS2,62.2,55.0,7130
499,1.5,Very Good,G,SI2,63.1,57.0,9384
500,1.01,Very Good,E,SI1,61.9,56.0,5759
501,2.75,Ideal,D,I1,60.9,57.0,13156
502,0.42,Premium,G,VS2,60.6,58.0,847
503,0.51,Ideal,G,VVS1,61.4,56.0,1963
504,1.55,Ideal,J,SI1,61.7,54.0,7987
505,0.4,Very Good,H,SI1,62.6,58.0,666
506,0.73,Ideal,D,SI1,61.8,56.0,3189
507,0.31,Very Good,H,VS2,63.1,57.0,628
508,0.36,Premium,G,IF,62.5,60.0,1148
